Filename,ID,Theme,Distance,Source,link
01_EFAI_Final.mov,1,Eudaimonic,Far,AI-generated,https://player.vimeo.com/video/1079959051?h=12de4cbf60
01_EFH_Final.mov,1,Eudaimonic,Far,Human-created,https://player.vimeo.com/video/1079959194?h=72f2159eaf
01_ENAI_Final.mov,1,Eudaimonic,Near,AI-generated,https://player.vimeo.com/video/1079959334?h=65356e59ee
01_ENH_Final.mov,1,Eudaimonic,Near,Human-created,https://player.vimeo.com/video/1079959447?h=89b6d631c0
02_EFAI_Final.mov,2,Eudaimonic,Far,AI-generated,https://player.vimeo.com/video/1079959527?h=fda2ff30c9
02_EFH_Final.mov,2,Eudaimonic,Far,Human-created,https://player.vimeo.com/video/1079959635?h=1e4cdc2211
02_ENAI_Final.mov,2,Eudaimonic,Near,AI-generated,https://player.vimeo.com/video/1079959762?h=b56c969354
02_ENH_Final.mov,2,Eudaimonic,Near,Human-created,https://player.vimeo.com/video/1079959845?h=5b246a016a
03_EFAI_Final.mov,3,Eudaimonic,Far,AI-generated,https://player.vimeo.com/video/1079960034?h=f7742953a3
03_EFH_Final.mov,3,Eudaimonic,Far,Human-created,https://player.vimeo.com/video/1079960299?h=1d591aaab6
03_ENAI_Final.mov,3,Eudaimonic,Near,AI-generated,https://player.vimeo.com/video/1079961301?h=d275b23e61
03_ENH_Final.mov,3,Eudaimonic,Near,Human-created,https://player.vimeo.com/video/1079961386?h=3f6ca09979
04_EFAI_Final.mov,4,Eudaimonic,Far,AI-generated,https://player.vimeo.com/video/1079961484?h=c11bf645c4
04_EFH_Final.mov,4,Eudaimonic,Far,Human-created,https://player.vimeo.com/video/1079961524?h=8c18bc3a44
04_ENAI_Final.mov,4,Eudaimonic,Near,AI-generated,https://player.vimeo.com/video/1079961557?h=7d455d37cc
04_ENH_Final.mov,4,Eudaimonic,Near,Human-created,https://player.vimeo.com/video/1079961647?h=8ff07bfe32
05_EFAI_Final.mov,5,Eudaimonic,Far,AI-generated,https://player.vimeo.com/video/1079961946?h=c9ea113497
05_EFH_Final.mov,5,Eudaimonic,Far,Human-created,https://player.vimeo.com/video/1079962130?h=8cd76118dc
05_ENAI_Final.mov,5,Eudaimonic,Near,AI-generated,https://player.vimeo.com/video/1079962293?h=745cdf8e2f
05_ENH_Final.mov,5,Eudaimonic,Near,Human-created,https://player.vimeo.com/video/1079962431?h=b48b4f1b0b
06_EFAI_Final.mov,6,Eudaimonic,Far,AI-generated,https://player.vimeo.com/video/1079962583?h=7dce45af19
06_EFH_Final.mov,6,Eudaimonic,Far,Human-created,https://player.vimeo.com/video/1079962695?h=3dfa633d9a
06_ENAI_Final.mov,6,Eudaimonic,Near,AI-generated,https://player.vimeo.com/video/1079962804?h=bb11b65467
06_ENH_Final.mov,6,Eudaimonic,Near,Human-created,https://player.vimeo.com/video/1079962891?h=b665ab3921
07_HFAI_Final.mov,7,Hedonic,Far,AI-generated,https://player.vimeo.com/video/1079962918?h=e328a9c173
07_HFH_Final.mov,7,Hedonic,Far,Human-created,https://player.vimeo.com/video/1079962947?h=84536b554d
07_HNAI_Final.mov,7,Hedonic,Near,AI-generated,https://player.vimeo.com/video/1079963004?h=6b5b349f69
07_HNH_Final.mov,7,Hedonic,Near,Human-created,https://player.vimeo.com/video/1079963065?h=8e23c7d846
08_HFAI_Final.mov,8,Hedonic,Far,AI-generated,https://player.vimeo.com/video/1079963103?h=1a4be5cc39
08_HFH_Final.mov,8,Hedonic,Far,Human-created,https://player.vimeo.com/video/1079963211?h=45d2b6a887
08_HNAI_Final.mov,8,Hedonic,Near,AI-generated,https://player.vimeo.com/video/1079963266?h=8b69d69f39
08_HNH_Final.mov,8,Hedonic,Near,Human-created,https://player.vimeo.com/video/1079963301?h=44a00cd90a
09_HFAI_Final.mov,9,Hedonic,Far,AI-generated,https://player.vimeo.com/video/1079963342?h=e692cb6fc4
09_HFH_Final.mov,9,Hedonic,Far,Human-created,https://player.vimeo.com/video/1079963361?h=05e393b084
09_HNAI_Final.mov,9,Hedonic,Near,AI-generated,https://player.vimeo.com/video/1079963394?h=235f47bded
09_HNH_Final.mov,9,Hedonic,Near,Human-created,https://player.vimeo.com/video/1079963428?h=d6883b1362
10_HFAI_Final.mov,10,Hedonic,Far,AI-generated,https://player.vimeo.com/video/1079963459?h=821dbb20da
10_HFH_Final.mov,10,Hedonic,Far,Human-created,https://player.vimeo.com/video/1079963493?h=7518a86174
10_HNAI_Final.mov,10,Hedonic,Near,AI-generated,https://player.vimeo.com/video/1079963526?h=bda93330df
10_HNH_Final.mov,10,Hedonic,Near,Human-created,https://player.vimeo.com/video/1079963562?h=dad6ea3ad1
11_HFAI_Final.mov,11,Hedonic,Far,AI-generated,https://player.vimeo.com/video/1079963579?h=3136825be5
11_HFH_Final.mov,11,Hedonic,Far,Human-created,https://player.vimeo.com/video/1079963604?h=3988ee4a0d
11_HNAI_Final.mov,11,Hedonic,Near,AI-generated,https://player.vimeo.com/video/1079963622?h=2299cef2ef
11_HNH_Final.mov,11,Hedonic,Near,Human-created,https://player.vimeo.com/video/1079963648?h=8dfdbd0d02
12_HFAI_Final.mov,12,Hedonic,Far,AI-generated,https://player.vimeo.com/video/1079963668?h=8cb4281248
12_HFH_Final.mov,12,Hedonic,Far,Human-created,https://player.vimeo.com/video/1079963780?h=b17ddeb414
12_HNAI_Final.mov,12,Hedonic,Near,AI-generated,https://player.vimeo.com/video/1079963899?h=b7fd416d42
12_HNH_Final.mov,12,Hedonic,Near,Human-created,https://player.vimeo.com/video/1079963997?h=8dfea890a7
